Data,Cidade,Cargo,Nota
16/01/2021 11:00:05,Belo Horizonte ,Especialista em Políticas Públicas e Gestão Governamental - EPPGG,5
14/01/2021 17:16:07,Brasília,Analista de Programas,2
07/01/2021 11:46:03,RIBEIRÃO PRETO,AGENTE DE ADMINISTRAÇÃO,5
29/01/2021 11:36:03,Belo Horizonte,Chefe da Assessoria Estratégica,5
07/01/2021 11:55:23,Rio de Janeiro,Assistente na Coordenadoria de Monitoramento e Avaliação ,5
07/01/2021 12:29:09,Ribeirão Preto,Agente de Administração ,3
23/01/2021 08:25:17,RIO DE JANEIRO,Estagiário do acervo de dados técnicos.,5
07/01/2021 12:40:11,Ribeirão Preto,Coordenador de TI,5
07/01/2021 12:47:36,Rio de janeiro,Analista de planejamento e orçamento,2
27/01/2021 02:21:37,Brasília,Técnico em Química (ANP) / Coordenador de Dados (Galt),5
07/01/2021 16:41:28,Porto Velho,Defensor público,4
08/01/2021 16:20:33,Salvador,Analista de Sistemas,5
07/01/2021 17:07:21,SÀO BERNARDO DO CAMPO,SOCIÓLOGO,5
28/01/2021 11:45:33,Rio de Janeiro,secretário ,5
21/01/2021 15:27:24,Brasília,Coordenador de Tecnologia e Pesquisa,4
07/01/2021 17:51:01,São Paulo ,Analista de Políticas Públicas,5
07/01/2021 19:46:50,São Luís ,Chefe de Divisão de Geoprocessamento ,5
07/01/2021 20:10:47,Rio de Janeiro,Coordenador de dados,5
07/01/2021 20:19:23,Recife,Gestor Governamental,4
24/01/2021 16:19:16,São Bernardo do Campo,Monitoramento e análise de dados do impacto do COVID-19 nos povos indígenas no Brasil,5
25/01/2021 13:59:06,Brumadinho,Assessor Parlamentar,3
07/01/2021 21:49:22,São Paulo,Coordenadora,3
07/01/2021 22:10:47,Brasília ,Coordenador de Projeto,5
22/01/2021 20:17:32,Rio de Janeiro,Vice presidente,3
22/01/2021 09:45:48,Vitória,Articulador Local,4
08/01/2021 00:00:58,Salvador,Pesquisadora e doutoranda,3
08/01/2021 00:21:56,Brasilia,Analista de Rede,3
